orig_index	motif_id	region_id	corr_coeff	pvalues	adj_pvalues
149	ASCL1_ASCL1_HUMAN.H11MO.0.A	chr12:132189480-132189494	1.0	1.4042654220543672e-24	8.881978794493873e-23
3	ASCL1_ASCL1_HUMAN.H11MO.0.A	chr1:53304444-53304458	1.0	1.4042654220543672e-24	8.881978794493873e-23
240	ASCL1_ASCL1_HUMAN.H11MO.0.A	chr20:63701754-63701768	1.0	1.4042654220543672e-24	8.881978794493873e-23
91	ASCL1_ASCL1_HUMAN.H11MO.0.A	chr7:156368161-156368175	1.0	1.4042654220543672e-24	8.881978794493873e-23
162	ASCL1_M08055_2.00	chr12:132189480-132189493	1.0	1.4042654220543672e-24	1.1795829545256684e-22
0	ASCL1_M08055_2.00	chr1:32925570-32925583	1.0	1.4042654220543672e-24	1.1795829545256684e-22
240	ASCL1_M08055_2.00	chr20:63701754-63701767	1.0	1.4042654220543672e-24	1.1795829545256684e-22
143	ASCL1_MA1631.1	chr14:23183487-23183500	1.0	1.4042654220543672e-24	1.5797985998111631e-22
209	ASCL1_MA1631.1	chr20:63701754-63701767	1.0	1.4042654220543672e-24	1.5797985998111631e-22
74	ATF2_MA1632.1	chr18:11947649-11947662	1.0	1.4042654220543672e-24	4.119178571359478e-23
12	ATF2_MA1632.1	chr3:31947994-31948007	-1.0	1.4042654220543672e-24	4.119178571359478e-23
46	ATF2_MA1632.1	chr9:129141596-129141609	-1.0	1.4042654220543672e-24	4.119178571359478e-23
8	ATF3_M08187_2.00	chr2:227781406-227781414	1.0	1.4042654220543672e-24	5.476635146012032e-23
40	ATF3_M08188_2.00	chr15:83733437-83733447	-1.0	1.4042654220543672e-24	3.9319431817522283e-23
19	ATF3_M08188_2.00	chr7:133512734-133512744	1.0	1.4042654220543672e-24	3.9319431817522283e-23
43	ATF4_ATF4_HUMAN.H11MO.0.A	chr11:28844051-28844063	-1.0	1.4042654220543672e-24	4.119178571359478e-23
8	ATF4_ATF4_HUMAN.H11MO.0.A	chr2:113111975-113111987	-1.0	1.4042654220543672e-24	4.119178571359478e-23
11	ATF4_ATF4_HUMAN.H11MO.0.A	chr3:27560116-27560128	-1.0	1.4042654220543672e-24	4.119178571359478e-23
54	ATF4_MA0833.2	chr11:28844051-28844065	-1.0	1.4042654220543672e-24	3.545770190687277e-23
62	ATF4_MA0833.2	chr12:10695579-10695593	1.0	1.4042654220543672e-24	3.545770190687277e-23
90	ATF4_MA0833.2	chr19:289652-289666	-1.0	1.4042654220543672e-24	3.545770190687277e-23
13	ATF4_MA0833.2	chr3:27560116-27560130	-1.0	1.4042654220543672e-24	3.545770190687277e-23
20	ATF6A_ATF6A_HUMAN.H11MO.0.B	chr5:58460155-58460167	-1.0	1.4042654220543672e-24	4.985142248293004e-23
33	ATF6A_ATF6A_HUMAN.H11MO.0.B	chr8:101133642-101133654	1.0	1.4042654220543672e-24	4.985142248293004e-23
69	ATOH1_ATOH1_HUMAN.H11MO.0.B	chr12:132189482-132189491	1.0	1.4042654220543672e-24	4.914928977190285e-23
19	ATOH1_ATOH1_HUMAN.H11MO.0.B	chr3:161421138-161421147	1.0	1.4042654220543672e-24	4.914928977190285e-23
48	ATOH1_ATOH1_HUMAN.H11MO.0.B	chr8:128429863-128429872	-1.0	1.4042654220543672e-24	4.914928977190285e-23
217	BACH1_BACH1_HUMAN.H11MO.0.A	chr21:45643128-45643141	-1.0	1.4042654220543672e-24	6.375365016126827e-23
42	BACH1_BACH1_HUMAN.H11MO.0.A	chr3:149298325-149298338	-1.0	1.4042654220543672e-24	6.375365016126827e-23
38	BACH1_BACH1_HUMAN.H11MO.0.A	chr3:46987933-46987946	-1.0	1.4042654220543672e-24	6.375365016126827e-23
84	BACH1_BACH1_HUMAN.H11MO.0.A	chr7:91565757-91565770	-1.0	1.4042654220543672e-24	6.375365016126827e-23
104	BACH1_BACH1_HUMAN.H11MO.0.A	chr9:99819921-99819934	1.0	1.4042654220543672e-24	6.375365016126827e-23
11	BACH1_M08185_2.00	chr1:192570148-192570158	-1.0	1.4042654220543672e-24	5.0085466719939097e-23
4	BACH1_M08185_2.00	chr1:32716431-32716441	1.0	1.4042654220543672e-24	5.0085466719939097e-23
38	BACH1_M08185_2.00	chr7:91565760-91565770	-1.0	1.4042654220543672e-24	5.0085466719939097e-23
81	BACH2_BACH2_HUMAN.H11MO.0.A	chr14:60161780-60161791	1.0	1.4042654220543672e-24	1.6008625811419788e-22
14	BACH2_M08065_2.00	chr1:192570146-192570160	-1.0	1.4042654220543672e-24	6.974518262870024e-23
57	BACH2_M08065_2.00	chr7:91565758-91565772	-1.0	1.4042654220543672e-24	6.974518262870024e-23
63	BACH2_M08065_2.00	chr8:6541216-6541230	-1.0	1.4042654220543672e-24	6.974518262870024e-23
104	BATF3_BATF3_HUMAN.H11MO.0.B	chr15:58193863-58193880	1.0	1.4042654220543672e-24	9.338365056661542e-23
30	BATF3_BATF3_HUMAN.H11MO.0.B	chr3:139562338-139562355	1.0	1.4042654220543672e-24	9.338365056661542e-23
74	BATF3_MA0835.2	chr15:83733436-83733447	-1.0	1.4042654220543672e-24	4.493649350573975e-23
34	BATF3_MA0835.2	chr6:106858849-106858860	1.0	1.4042654220543672e-24	4.493649350573975e-23
37	BATF3_MA0835.2	chr7:133512733-133512744	1.0	1.4042654220543672e-24	4.493649350573975e-23
76	BATFJUN_MA0462.2	chr15:83733436-83733447	-1.0	1.4042654220543672e-24	4.4468405031721624e-23
35	BATFJUN_MA0462.2	chr6:106858849-106858860	1.0	1.4042654220543672e-24	4.4468405031721624e-23
39	BATFJUN_MA0462.2	chr7:133512733-133512744	1.0	1.4042654220543672e-24	4.4468405031721624e-23
56	BATF_BATF_HUMAN.H11MO.0.A	chr8:22853192-22853210	-1.0	1.4042654220543672e-24	1.5868199269214352e-22
104	BATF_M07821_2.00	chr21:17903173-17903188	1.0	1.4042654220543672e-24	7.442606736888148e-23
53	BATF_M07821_2.00	chr8:22853194-22853209	-1.0	1.4042654220543672e-24	7.442606736888148e-23
74	BATF_MA1634.1	chr15:83733436-83733447	-1.0	1.4042654220543672e-24	4.3532228083685385e-23
32	BATF_MA1634.1	chr6:106858849-106858860	1.0	1.4042654220543672e-24	4.3532228083685385e-23
36	BATF_MA1634.1	chr7:133512733-133512744	1.0	1.4042654220543672e-24	4.3532228083685385e-23
310	BC11A_BC11A_HUMAN.H11MO.0.A	chr12:33224169-33224186	1.0	1.4042654220543672e-24	2.2655482142477124e-22
328	BC11A_BC11A_HUMAN.H11MO.0.A	chr13:34036407-34036424	-1.0	1.4042654220543672e-24	2.2655482142477124e-22
60	BC11A_BC11A_HUMAN.H11MO.0.A	chr2:67477674-67477691	1.0	1.4042654220543672e-24	2.2655482142477124e-22
160	BCL11A_M07926_2.00	chr10:21870951-21870966	-1.0	1.4042654220543672e-24	7.667289204416845e-23
234	BCL11A_M07926_2.00	chr17:66676967-66676982	-1.0	1.4042654220543672e-24	7.667289204416845e-23
22	BCL11A_M07926_2.00	chr1:183734871-183734886	1.0	1.4042654220543672e-24	7.667289204416845e-23
43	BCL11A_M07926_2.00	chr2:67477674-67477689	1.0	1.4042654220543672e-24	7.667289204416845e-23
140	BCL11A_M07926_2.00	chr8:97582695-97582710	1.0	1.4042654220543672e-24	7.667289204416845e-23
116	BCL6_BCL6_HUMAN.H11MO.0.A	chr12:4766864-4766877	-1.0	1.4042654220543672e-24	8.331974837522579e-23
144	BCL6_BCL6_HUMAN.H11MO.0.A	chr17:41717477-41717490	-1.0	1.4042654220543672e-24	8.331974837522579e-23
83	BCL6_BCL6_HUMAN.H11MO.0.A	chr8:23528313-23528326	1.0	1.4042654220543672e-24	8.331974837522579e-23
171	BHA15_BHA15_HUMAN.H11MO.0.B	chr17:68457874-68457885	-1.0	1.4042654220543672e-24	4.2930400045662094e-23
13	BHA15_BHA15_HUMAN.H11MO.0.B	chr1:201506256-201506267	-1.0	1.4042654220543672e-24	4.2930400045662094e-23
0	BHA15_BHA15_HUMAN.H11MO.0.B	chr1:32925572-32925583	1.0	1.4042654220543672e-24	4.2930400045662094e-23
203	BHA15_BHA15_HUMAN.H11MO.0.B	chr20:63701756-63701767	1.0	1.4042654220543672e-24	4.2930400045662094e-23
209	BHA15_BHA15_HUMAN.H11MO.0.B	chr22:42644865-42644876	1.0	1.4042654220543672e-24	4.2930400045662094e-23
73	BHA15_BHA15_HUMAN.H11MO.0.B	chr7:15396264-15396275	-1.0	1.4042654220543672e-24	4.2930400045662094e-23
83	BHA15_BHA15_HUMAN.H11MO.0.B	chr7:156368162-156368173	1.0	1.4042654220543672e-24	4.2930400045662094e-23
69	BHLHE22_MA1635.1	chr12:132189481-132189491	1.0	1.4042654220543672e-24	3.145554545401783e-23
73	BHLHE22_MA1635.1	chr13:41540406-41540416	1.0	1.4042654220543672e-24	3.145554545401783e-23
22	BHLHE22_MA1635.1	chr5:44587054-44587064	1.0	1.4042654220543672e-24	3.145554545401783e-23
31	BHLHE22_MA1635.1	chr6:33706407-33706417	1.0	1.4042654220543672e-24	3.145554545401783e-23
38	BHLHE22_MA1635.1	chr7:142502641-142502651	-1.0	1.4042654220543672e-24	3.145554545401783e-23
8	BMAL1_BMAL1_HUMAN.H11MO.0.A	chr2:111617871-111617882	-1.0	1.4042654220543672e-24	4.8447157060875666e-23
11	BMAL1_BMAL1_HUMAN.H11MO.0.A	chr2:227781405-227781416	1.0	1.4042654220543672e-24	4.8447157060875666e-23
108	BRAC_BRAC_HUMAN.H11MO.0.A	chr11:71588296-71588316	1.0	1.4042654220543672e-24	2.429379180154055e-22
59	CDX2_MA0465.2	chr18:53744017-53744029	-1.0	1.4042654220543672e-24	8.846872158942514e-23
34	CEBPA_CEBPA_HUMAN.H11MO.0.A	chr8:94065960-94065972	1.0	1.4042654220543672e-24	1.1234123376434938e-22
67	CEBPA_M08076_2.00	chr15:93313469-93313480	-1.0	1.4042654220543672e-24	1.1795829545256684e-22
0	CEBPA_MA0102.4	chr1:39064902-39064916	1.0	1.4042654220543672e-24	1.235753571407843e-22
0	CEBPB_M07830_2.00	chr1:39064903-39064917	1.0	1.4042654220543672e-24	6.38940767034737e-23
16	CEBPB_M07830_2.00	chr3:27560115-27560129	-1.0	1.4042654220543672e-24	6.38940767034737e-23
29	CEBPB_M07831_2.00	chr8:94065961-94065972	1.0	1.4042654220543672e-24	8.004312905709894e-23
25	CEBPB_M07832_2.00	chr8:94065960-94065974	1.0	1.4042654220543672e-24	8.56601907453164e-23
11	CEBPD_MA0836.2	chr2:44361801-44361814	1.0	1.4042654220543672e-24	1.0251137580996883e-22
31	CEBPE_CEBPE_HUMAN.H11MO.0.A	chr12:10695578-10695590	1.0	1.4042654220543672e-24	2.4808689122960489e-23
7	CEBPE_CEBPE_HUMAN.H11MO.0.A	chr2:184213036-184213048	1.0	1.4042654220543672e-24	2.4808689122960489e-23
19	CEBPE_CEBPE_HUMAN.H11MO.0.A	chr7:156368187-156368199	1.0	1.4042654220543672e-24	2.4808689122960489e-23
53	CEBPG_CEBPG_HUMAN.H11MO.0.B	chr11:28844051-28844063	-1.0	1.4042654220543672e-24	4.212796266163102e-23
10	CEBPG_CEBPG_HUMAN.H11MO.0.B	chr2:113111975-113111987	-1.0	1.4042654220543672e-24	4.212796266163102e-23
12	CEBPG_CEBPG_HUMAN.H11MO.0.B	chr3:27560116-27560128	-1.0	1.4042654220543672e-24	4.212796266163102e-23
86	CEBPG_MA1636.1	chr12:12800548-12800563	-1.0	1.4042654220543672e-24	5.617061688217469e-23
113	CEBPG_MA1636.1	chr19:8321803-8321818	-1.0	1.4042654220543672e-24	5.617061688217469e-23
1	CEBPG_MA1636.1	chr1:39064901-39064916	1.0	1.4042654220543672e-24	5.617061688217469e-23
105	CLOCK_CLOCK_HUMAN.H11MO.0.C	chr19:53554259-53554273	1.0	1.4042654220543672e-24	1.6149052353625224e-22
259	COE1_COE1_HUMAN.H11MO.0.A	chr14:22903693-22903708	1.0	1.4042654220543672e-24	1.6944802759456032e-22
282	COE1_COE1_HUMAN.H11MO.0.A	chr15:92904392-92904407	-1.0	1.4042654220543672e-24	1.6944802759456032e-22
306	COE1_COE1_HUMAN.H11MO.0.A	chr17:66674139-66674154	-1.0	1.4042654220543672e-24	1.6944802759456032e-22
461	COT1_COT1_HUMAN.H11MO.0.C	chr19:22427197-22427214	1.0	1.4042654220543672e-24	2.5229968749576796e-22
170	COT1_COT1_HUMAN.H11MO.0.C	chr6:29942256-29942273	1.0	1.4042654220543672e-24	2.5229968749576796e-22
188	COT1_COT1_HUMAN.H11MO.0.C	chr7:866664-866681	-1.0	1.4042654220543672e-24	2.5229968749576796e-22
169	COT2_COT2_HUMAN.H11MO.0.A	chr18:11947647-11947660	1.0	1.4042654220543672e-24	7.723459821299021e-23
56	COT2_COT2_HUMAN.H11MO.0.A	chr4:11424747-11424760	-1.0	1.4042654220543672e-24	7.723459821299021e-23
83	COT2_COT2_HUMAN.H11MO.0.A	chr7:76047691-76047704	-1.0	1.4042654220543672e-24	7.723459821299021e-23
95	COT2_COT2_HUMAN.H11MO.0.A	chr8:121162527-121162540	1.0	1.4042654220543672e-24	7.723459821299021e-23
2	CREB1_CREB1_HUMAN.H11MO.0.A	chr1:206581913-206581924	1.0	1.4042654220543672e-24	4.3532228083685385e-23
21	CREB1_M08066_2.00	chr9:129141596-129141608	-1.0	1.4042654220543672e-24	5.757488230422905e-23
74	CREB1_MA0018.4	chr18:11947649-11947662	1.0	1.4042654220543672e-24	6.178767857039215e-23
49	CREB1_MA0018.4	chr9:129141595-129141608	-1.0	1.4042654220543672e-24	6.178767857039215e-23
3	CREM_MA0609.2	chr1:206581912-206581928	1.0	1.4042654220543672e-24	5.195782061601158e-23
64	CRX_CRX_HUMAN.H11MO.0.B	chr21:41682735-41682748	1.0	1.4042654220543672e-24	9.40857832776426e-23
181	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr10:116627541-116627558	1.0	1.4042654220543672e-24	5.097483482057353e-23
227	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr14:70809478-70809495	-1.0	1.4042654220543672e-24	5.097483482057353e-23
237	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr15:30991952-30991969	1.0	1.4042654220543672e-24	5.097483482057353e-23
242	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr15:48331320-48331337	-1.0	1.4042654220543672e-24	5.097483482057353e-23
278	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr17:39451637-39451654	-1.0	1.4042654220543672e-24	5.097483482057353e-23
322	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr19:39539998-39540015	1.0	1.4042654220543672e-24	5.097483482057353e-23
352	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr22:36455150-36455167	1.0	1.4042654220543672e-24	5.097483482057353e-23
50	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr2:235747929-235747946	-1.0	1.4042654220543672e-24	5.097483482057353e-23
58	CTCFL_CTCFL_HUMAN.H11MO.0.A	chr3:72337084-72337101	1.0	1.4042654220543672e-24	5.097483482057353e-23
356	CTCFL_CTCFL_HUMAN.H11MO.0.A	chrX:1661591-1661608	-1.0	1.4042654220543672e-24	5.097483482057353e-23
153	CTCFL_M07930_2.00	chr10:30027266-30027281	-1.0	1.4042654220543672e-24	6.600047483655526e-23
229	CTCFL_M07930_2.00	chr16:23642011-23642026	1.0	1.4042654220543672e-24	6.600047483655526e-23
239	CTCFL_M07930_2.00	chr16:88785250-88785265	-1.0	1.4042654220543672e-24	6.600047483655526e-23
254	CTCFL_M07930_2.00	chr17:39451638-39451653	-1.0	1.4042654220543672e-24	6.600047483655526e-23
320	CTCFL_M07930_2.00	chr22:36455151-36455166	1.0	1.4042654220543672e-24	6.600047483655526e-23
39	CTCFL_M07930_2.00	chr2:235747930-235747945	-1.0	1.4042654220543672e-24	6.600047483655526e-23
41	CTCFL_M07930_2.00	chr3:72337085-72337100	1.0	1.4042654220543672e-24	6.600047483655526e-23
185	CTCFL_M08089_2.00	chr10:42866838-42866852	1.0	1.4042654220543672e-24	5.273796807270846e-23
247	CTCFL_M08089_2.00	chr16:88785250-88785264	-1.0	1.4042654220543672e-24	5.273796807270846e-23
304	CTCFL_M08089_2.00	chr19:39157673-39157687	1.0	1.4042654220543672e-24	5.273796807270846e-23
32	CTCFL_M08089_2.00	chr1:209657260-209657274	-1.0	1.4042654220543672e-24	5.273796807270846e-23
326	CTCFL_M08089_2.00	chr22:36455151-36455165	1.0	1.4042654220543672e-24	5.273796807270846e-23
66	CTCFL_M08089_2.00	chr3:72337085-72337099	1.0	1.4042654220543672e-24	5.273796807270846e-23
115	CTCFL_M08089_2.00	chr6:100881399-100881413	-1.0	1.4042654220543672e-24	5.273796807270846e-23
113	CTCFL_M08089_2.00	chr6:44246944-44246958	-1.0	1.4042654220543672e-24	5.273796807270846e-23
334	CTCFL_M08089_2.00	chrX:1661592-1661606	-1.0	1.4042654220543672e-24	5.273796807270846e-23
157	CTCFL_MA1102.2	chr10:42866839-42866851	1.0	1.4042654220543672e-24	5.318655286030915e-23
213	CTCFL_MA1102.2	chr16:88785251-88785263	-1.0	1.4042654220543672e-24	5.318655286030915e-23
266	CTCFL_MA1102.2	chr19:39157674-39157686	1.0	1.4042654220543672e-24	5.318655286030915e-23
27	CTCFL_MA1102.2	chr1:177571873-177571885	1.0	1.4042654220543672e-24	5.318655286030915e-23
30	CTCFL_MA1102.2	chr1:209657261-209657273	-1.0	1.4042654220543672e-24	5.318655286030915e-23
292	CTCFL_MA1102.2	chr22:36455152-36455164	1.0	1.4042654220543672e-24	5.318655286030915e-23
57	CTCFL_MA1102.2	chr3:72337086-72337098	1.0	1.4042654220543672e-24	5.318655286030915e-23
95	CTCFL_MA1102.2	chr6:44246945-44246957	-1.0	1.4042654220543672e-24	5.318655286030915e-23
180	CTCF_CTCF_HUMAN.H11MO.0.A	chr10:116627539-116627558	1.0	1.4042654220543672e-24	1.0223052272555794e-22
236	CTCF_CTCF_HUMAN.H11MO.0.A	chr15:30991950-30991969	1.0	1.4042654220543672e-24	1.0223052272555794e-22
349	CTCF_CTCF_HUMAN.H11MO.0.A	chr22:36455150-36455169	1.0	1.4042654220543672e-24	1.0223052272555794e-22
119	CTCF_CTCF_HUMAN.H11MO.0.A	chr7:30478851-30478870	-1.0	1.4042654220543672e-24	1.0223052272555794e-22
159	CTCF_CTCF_HUMAN.H11MO.0.A	chr9:104093754-104093773	1.0	1.4042654220543672e-24	1.0223052272555794e-22
193	CTCF_M07862_2.00	chr10:116627538-116627559	1.0	1.4042654220543672e-24	9.010703124848856e-23
204	CTCF_M07862_2.00	chr11:62787763-62787784	1.0	1.4042654220543672e-24	9.010703124848856e-23
248	CTCF_M07862_2.00	chr15:30991949-30991970	1.0	1.4042654220543672e-24	9.010703124848856e-23
333	CTCF_M07862_2.00	chr19:39539997-39540018	1.0	1.4042654220543672e-24	9.010703124848856e-23
370	CTCF_M07862_2.00	chr22:36455149-36455170	1.0	1.4042654220543672e-24	9.010703124848856e-23
168	CTCF_M07862_2.00	chr9:104093753-104093774	1.0	1.4042654220543672e-24	9.010703124848856e-23
156	CTCF_M07863_2.00	chr11:62787767-62787783	1.0	1.4042654220543672e-24	8.509848457649466e-23
187	CTCF_M07863_2.00	chr15:30991953-30991969	1.0	1.4042654220543672e-24	8.509848457649466e-23
25	CTCF_M07863_2.00	chr1:209657259-209657275	-1.0	1.4042654220543672e-24	8.509848457649466e-23
118	CTCF_M07863_2.00	chr8:8227967-8227983	-1.0	1.4042654220543672e-24	8.509848457649466e-23
136	CTCF_M07863_2.00	chr9:104093757-104093773	1.0	1.4042654220543672e-24	8.509848457649466e-23
127	CTCF_M07864_2.00	chr10:30027266-30027281	-1.0	1.4042654220543672e-24	1.3012859577703802e-22
159	CTCF_M07864_2.00	chr13:41540467-41540482	-1.0	1.4042654220543672e-24	1.3012859577703802e-22
264	CTCF_M07864_2.00	chr22:36455151-36455166	1.0	1.4042654220543672e-24	1.3012859577703802e-22
152	CTCF_M07865_2.00	chr11:62787768-62787784	1.0	1.4042654220543672e-24	3.9600284901933162e-22
243	CTCF_M07866_2.00	chr22:36455152-36455167	1.0	1.4042654220543672e-24	3.608962134679723e-22
163	CTCF_M07867_2.00	chr18:11947642-11947655	1.0	1.4042654220543672e-24	1.411286749164639e-22
28	CTCF_M07867_2.00	chr2:112687696-112687709	-1.0	1.4042654220543672e-24	1.411286749164639e-22
246	CTCF_M07868_2.00	chr22:36455152-36455167	1.0	1.4042654220543672e-24	1.8185237215604056e-22
35	CTCF_M07868_2.00	chr2:112687696-112687711	-1.0	1.4042654220543672e-24	1.8185237215604056e-22
145	CTCF_M07869_2.00	chr10:116627541-116627556	1.0	1.4042654220543672e-24	2.0993768059712791e-22
284	CTCF_M07869_2.00	chr22:36455152-36455167	1.0	1.4042654220543672e-24	2.0993768059712791e-22
132	CTCF_M07870_2.00	chr10:30027265-30027280	-1.0	1.4042654220543672e-24	1.0040497767688724e-22
270	CTCF_M07870_2.00	chr22:36455152-36455167	1.0	1.4042654220543672e-24	1.0040497767688724e-22
36	CTCF_M07870_2.00	chr2:112687696-112687711	-1.0	1.4042654220543672e-24	1.0040497767688724e-22
123	CTCF_M07870_2.00	chr9:83818108-83818123	1.0	1.4042654220543672e-24	1.0040497767688724e-22
218	CTCF_M07871_2.00	chr17:82102943-82102958	-1.0	1.4042654220543672e-24	9.478791598866978e-23
261	CTCF_M07871_2.00	chr22:36455154-36455169	1.0	1.4042654220543672e-24	9.478791598866978e-23
35	CTCF_M07871_2.00	chr2:112687694-112687709	-1.0	1.4042654220543672e-24	9.478791598866978e-23
126	CTCF_M07871_2.00	chr9:113275608-113275623	1.0	1.4042654220543672e-24	9.478791598866978e-23
138	CTCF_M07872_2.00	chr11:62787767-62787782	1.0	1.4042654220543672e-24	1.9519289366555705e-22
118	CTCF_M07872_2.00	chr9:104093757-104093772	1.0	1.4042654220543672e-24	1.9519289366555705e-22
232	CTCF_M07873_2.00	chr10:116627540-116627561	1.0	1.4042654220543672e-24	1.2413706330960606e-22
283	CTCF_M07873_2.00	chr15:30991951-30991972	1.0	1.4042654220543672e-24	1.2413706330960606e-22
391	CTCF_M07873_2.00	chr19:39539995-39540016	1.0	1.4042654220543672e-24	1.2413706330960606e-22
65	CTCF_M07873_2.00	chr2:235747923-235747944	-1.0	1.4042654220543672e-24	1.2413706330960606e-22
113	CTCF_M07873_2.00	chr5:109689296-109689317	1.0	1.4042654220543672e-24	1.2413706330960606e-22
123	CTCF_M07874_2.00	chr10:30027266-30027281	-1.0	1.4042654220543672e-24	9.86496458993193e-23
181	CTCF_M07874_2.00	chr16:23642011-23642026	1.0	1.4042654220543672e-24	9.86496458993193e-23
205	CTCF_M07874_2.00	chr17:39451638-39451653	-1.0	1.4042654220543672e-24	9.86496458993193e-23
267	CTCF_M07874_2.00	chr22:36455151-36455166	1.0	1.4042654220543672e-24	9.86496458993193e-23
142	CTCF_M07875_2.00	chr10:30027265-30027280	-1.0	1.4042654220543672e-24	1.105859019867814e-22
211	CTCF_M07875_2.00	chr16:23642012-23642027	1.0	1.4042654220543672e-24	1.105859019867814e-22
235	CTCF_M07875_2.00	chr17:39451639-39451654	-1.0	1.4042654220543672e-24	1.105859019867814e-22
299	CTCF_M07875_2.00	chr22:36455152-36455167	1.0	1.4042654220543672e-24	1.105859019867814e-22
288	CTCF_M07876_2.00	chr22:36455152-36455167	1.0	1.4042654220543672e-24	2.1625687499637255e-22
34	CTCF_M07876_2.00	chr2:112687696-112687711	-1.0	1.4042654220543672e-24	2.1625687499637255e-22
135	CTCF_M07877_2.00	chr11:62787767-62787782	1.0	1.4042654220543672e-24	6.342598822945559e-23
179	CTCF_M07877_2.00	chr16:23642011-23642026	1.0	1.4042654220543672e-24	6.342598822945559e-23
200	CTCF_M07877_2.00	chr17:39451638-39451653	-1.0	1.4042654220543672e-24	6.342598822945559e-23
258	CTCF_M07877_2.00	chr22:36455151-36455166	1.0	1.4042654220543672e-24	6.342598822945559e-23
40	CTCF_M07877_2.00	chr2:235747927-235747942	-1.0	1.4042654220543672e-24	6.342598822945559e-23
95	CTCF_M07877_2.00	chr8:8227968-8227983	-1.0	1.4042654220543672e-24	6.342598822945559e-23
144	CTCF_M07878_2.00	chr10:30027265-30027280	-1.0	1.4042654220543672e-24	2.1555474228534537e-22
295	CTCF_M07878_2.00	chr22:36455152-36455167	1.0	1.4042654220543672e-24	2.1555474228534537e-22
142	CTCF_M07879_2.00	chr10:116627541-116627556	1.0	1.4042654220543672e-24	1.37618011361328e-22
